ProductID,ProductName,Category,SubCategory,Brand,UnitCost,SellingPrice,ReorderPoint,LeadTimeDays,Status
PRD000001,Apple 4K UHD Monitor,Electronics,Monitor,Apple,10248092,12538156,10,12,Active
PRD000002,Informa 5-Tier Bookshelf,Furniture,Bookshelf,Informa,3990353,5001859,10,34,Active
PRD000003,Paperline Gel 0.5mm Pen,Office Supplies,Pen,Paperline,88990,112640,69,3,Active
PRD000004,IKEA Compact Bookshelf,Furniture,Bookshelf,IKEA,1186091,1461368,4,34,Active
PRD000005,Apple Wireless Keyboard,Electronics,Keyboard,Apple,2824044,3410818,17,18,Active
PRD000006,Kenko A5 Hardcover Notebook,Office Supplies,Notebook,Kenko,14238,18514,142,7,Active
PRD000007,Informa Mesh Office Chair,Furniture,Office Chair,Informa,3721509,4601628,7,32,Active
PRD000008,Mi Mechanical Keyboard,Electronics,Keyboard,Mi,5393673,6721126,12,14,Active
PRD000009,Mi Pro Laptop,Electronics,Laptop,Mi,689521,762426,18,12,Active
PRD000010,Mi Gaming Laptop,Electronics,Laptop,Mi,14208776,16322318,19,14,Active
PRD000011,Kenko Plastic L-Shape Folder,Office Supplies,Folder,Kenko,19179,22928,81,4,Active
PRD000012,Logitech Gaming Monitor,Electronics,Monitor,Logitech,8515843,9892515,15,17,Active
PRD000013,Ace Conference Meeting Table,Furniture,Meeting Table,Ace,6813789,8797740,10,27,Active
PRD000014,Paperline Highlighter Pastel Marker,Office Supplies,Marker,Paperline,66402,82494,99,3,Active
PRD000015,Logitech Wireless Keyboard,Electronics,Keyboard,Logitech,10490961,11736276,20,14,Active
PRD000016,Olympic Modern Bookshelf,Furniture,Bookshelf,Olympic,4207677,5579696,12,31,Active
PRD000017,Samsung Bluetooth Waterproof Speaker,Electronics,Speaker,Samsung,9827989,11925039,10,14,Active
PRD000018,Ace Large Meeting Table,Furniture,Meeting Table,Ace,6997317,9055707,4,19,Active
PRD000019,Logitech Wireless Mouse,Electronics,Mouse,Logitech,10443690,12334116,5,9,Active
PRD000020,Logitech 4K UHD Monitor,Electronics,Monitor,Logitech,8868678,10875984,18,19,Active
PRD000021,Apple Mechanical Keyboard,Electronics,Keyboard,Apple,4195547,4654628,7,18,Discontinued
PRD000022,Paperline Heavy Duty Stapler,Office Supplies,Stapler,Paperline,11440,13171,177,2,Active
PRD000023,Ace Minimalist Office Desk,Furniture,Office Desk,Ace,4562704,5930251,7,15,Active
PRD000024,Apple 4K UHD Monitor,Electronics,Monitor,Apple,5952095,7036986,12,18,Active
PRD000025,Samsung Wireless Keyboard,Electronics,Keyboard,Samsung,11757614,14668868,8,21,Active
PRD000026,Paperline Ring Binder Folder,Office Supplies,Folder,Paperline,82813,111584,62,4,Active
PRD000027,Paperline Spiral Linier Notebook,Office Supplies,Notebook,Paperline,33110,42569,69,5,Active
PRD000028,Kenko Grid Bulanan Notebook,Office Supplies,Notebook,Kenko,65267,83344,99,3,Active
PRD000029,Kenko Paperless Stapler,Office Supplies,Stapler,Kenko,19151,22747,117,7,Active
PRD000030,IKEA Modern Bookshelf,Furniture,Bookshelf,IKEA,6789713,8810625,5,35,Active
PRD000031,Logitech Curved Monitor,Electronics,Monitor,Logitech,12552045,14728834,14,8,Active
